SimulationType,Batch,E[Ts]_cum,E[Tq]_cum,E[S]_cum,E[N]_cum,E[Nq]_cum,rho_cum,lambda_cum
INFINITE,246,21.408248,1.489149,19.919098,8.570910,0.649565,0.720122,0.399438
INFINITE,247,21.405895,1.495902,19.909992,8.572755,0.652477,0.720025,0.399575
INFINITE,248,21.399540,1.489981,19.909560,8.566398,0.649887,0.719683,0.399386
INFINITE,249,21.390931,1.484021,19.906911,8.565226,0.647287,0.719813,0.399508
INFINITE,250,21.400823,1.482156,19.918667,8.565756,0.646183,0.719961,0.399368
INFINITE,251,21.402471,1.478311,19.924160,8.566889,0.644445,0.720222,0.399393
INFINITE,252,21.400042,1.480395,19.919647,8.573919,0.645843,0.720734,0.399782
INFINITE,253,21.397302,1.477072,19.920230,8.569914,0.644215,0.720518,0.399645
INFINITE,254,21.384966,1.471279,19.913686,8.565455,0.641688,0.720342,0.399675
INFINITE,255,21.400867,1.478877,19.921990,8.577033,0.645226,0.721073,0.399883
